TGPOLYCET-2024 LAST RANK STATEMENT FIRST PHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inst
 Code",Institute Name,Place,"Dist 
Code",Co Education,College Type,Year of Estab,Branch Code,Branch Name,"OC 
BOYS","OC 
GIRLS","BC_A 
BOYS","BC_A 
GIRLS","BC_B 
BOYS","BC_B 
GIRLS","BC_C 
BOYS","BC_C 
GIRLS","BC_D 
BOYS","BC_D 
GIRLS","BC_E 
BOYS","BC_E 
GIRLS","SC 
BOYS","SC 
GIRLS","ST 
BOYS","ST 
GIRLS","EWS 
GEN OU","EWS 
GIRLS OU",Fee,Affiliated To
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,ADB,COED,GOV,1980,CE,DIPLOMA IN CIVIL ENGINEERING,13679,21127,46617,53547,67149,67149,13679,21127,54883,54883,52186,52186,64799,64799,53625,53741,13679,21127,5080,SBTET
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,ADB,COED,GOV,1980,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,7431,7431,41409,41409,16211,16211,28854,28854,28684,28684,11399,25260,42094,42094,45162,45162,7431,33658,5080,SBTET
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,ADB,COED,GOV,1980,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,19342,24821,55817,57392,54344,56914,28038,28038,21799,45162,48600,49082,69576,69576,62468,62468,51855,51855,5080,SBTET
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,ADB,COED,GOV,1980,ME,DIPLOMA IN MECHANICAL ENGINEERING,29834,29834,57450,57450,58540,58540,29834,29834,53584,59508,29834,40204,69360,69360,62303,62303,29834,29834,5080,SBTET
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RR,COED,PVT,,CE,DIPLOMA IN CIVIL ENGINEERING,34454,34454,60952,60952,34454,62744,34454,34454,34454,34454,34454,34454,47101,47101,34454,34454,34454,34454,15780,SBTET
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RR,COED,PVT,,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,16302,20044,60617,60617,31576,31576,27353,27353,26888,32308,49572,49808,50758,57149,69147,69147,49481,49481,15780,SBTET
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RR,COED,PVT,,EC,DIPLOMA IN ELECTRONICS & COMMUNICATION ENGINEERING,17793,36540,60255,60255,52590,59795,17793,36540,39418,52515,61974,61974,65009,65009,55817,65860,17793,36540,15780,SBTET
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RR,COED,PVT,,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,33764,33764,61108,61108,44681,44681,51297,51297,57733,57733,33764,33764,46216,64521,56830,65313,33764,33764,15780,SBTET
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RR,COED,PVT,,ME,DIPLOMA IN MECHANICAL ENGINEERING,42919,57212,42919,57212,62744,62744,42919,57212,42919,57212,42919,57212,63224,67992,42919,57212,42919,57212,15780,SBTET
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MNC,COED,PVT,1999,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,30814,30814,30814,30814,44304,44304,30814,30814,66642,66642,30814,30814,63824,67244,30814,30814,30814,30814,15780,SBTET
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MNC,COED,PVT,1999,MN,DIPLOMA IN MINING ENGINEERING,37018,37018,37018,37018,53894,53894,37018,37018,37018,37018,37018,66573,64719,65337,37018,37018,37018,37018,15780,SBTET
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,KGM,COED,PVT,2007,CE,DIPLOMA IN CIVIL ENGINEERING,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,55383,15780,SBTET
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,KGM,COED,PVT,2007,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,33266,33266,62710,62710,33266,33266,33266,33266,54720,54720,59584,59584,67110,67110,65977,65977,33266,33266,15780,SBTET
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,KGM,COED,PVT,2007,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,31024,55617,31024,55617,62927,62927,31024,55617,68637,68637,31024,55617,31024,55617,67604,67604,31024,55617,15780,SBTET
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,KGM,COED,PVT,2007,ME,DIPLOMA IN MECHANICAL ENGINEERING,68800,68800,68954,69468,69266,68844,68800,68800,69678,69706,69664,68709,69696,69704,69707,69715,62710,62570,15780,SBTET
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,KGM,COED,PVT,,MN,DIPLOMA IN MINING ENGINEERING,59950,59950,67889,67889,59950,59950,59950,59950,59950,59950,59950,59950,63082,63082,65912,67149,59950,59950,15780,SBTET
ANRK,ANURAG ENGINNERING COLLGE,KODAD,SRP,COED,PVT,,CE,DIPLOMA IN CIVIL ENGINEERING,68800,68800,68954,69468,69266,68844,68800,68800,69678,69706,69664,68709,69696,69704,69707,69715,62710,62570,15780,SBTET
ANRK,ANURAG ENGINNERING COLLGE,KODAD,SRP,COED,PVT,,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,29949,29949,62166,62368,59019,59992,29949,29949,55914,55914,60867,60867,64242,68867,69081,69081,42162,42162,15780,SBTET
ANRK,ANURAG ENGINNERING COLLGE,KODAD,SRP,COED,PVT,,EC,DIPLOMA IN ELECTRONICS & COMMUNICATION ENGINEERING,45880,45880,55383,55383,59386,59795,45880,45880,50569,56955,58905,58905,68492,69124,69043,69043,45880,58291,15780,SBTET
ANRK,ANURAG ENGINNERING COLLGE,KODAD,SRP,COED,PVT,2014,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,49955,60422,49955,60422,61883,61883,49955,60422,49955,61637,49955,60422,64140,64140,67008,67008,49955,60422,15780,SBTET
AREB,ARKAY COLLEGE OF ENGG AND TECHNOLOGY,BODHAN,NZB,COED,PVT,2014,CE,DIPLOMA IN CIVIL ENGINEERING,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,69494,15780,SBTET
AREB,ARKAY COLLEGE OF ENGG AND TECHNOLOGY,BODHAN,NZB,COED,PVT,,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,52374,15780,SBTET
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,23390,23390,46086,46086,62771,62771,23390,23390,49510,49510,55216,61782,67501,67501,68729,68729,30070,30070,15780,SBTET
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2008,EC,DIPLOMA IN ELECTRONICS & COMMUNICATION ENGINEERING,54184,54184,54184,54184,54184,54184,54184,54184,54184,54184,54184,54184,60255,63102,54184,54184,54184,54184,15780,SBTET
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,14490,23635,44627,55659,43685,43685,36032,36032,34395,48600,62570,62570,65686,65686,68298,68298,14490,23635,15780,SBTET
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,1994,EC,DIPLOMA IN ELECTRONICS & COMMUNICATION ENGINEERING,18970,35426,62685,62685,61177,61177,18970,35426,55120,55120,18970,35426,60463,66432,62032,62032,18970,35426,15780,SBTET
BLMP,GOVT POLYTECHNIC,BELLAMPALLI,MNC,COED,GOV,1994,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,13698,17034,25713,25713,37601,50978,13698,28306,16175,18727,39203,39203,33516,36610,48437,63082,13698,17034,5080,SBTET
BLMP,GOVT POLYTECHNIC,BELLAMPALLI,MNC,COED,GOV,1994,EI,DIPLOMA IN ELECTRONICS & INSTRUMENTATION ENGINEERING,41149,41149,61464,61464,41149,56735,62414,62414,59866,59866,62166,62166,68456,68456,66705,68260,41149,41149,5080,SBTET
BLMP,GOVT POLYTECHNIC,BELLAMPALLI,MNC,COED,GOV,,MN,DIPLOMA IN MINING ENGINEERING,18143,35134,19880,62303,47011,61544,18143,35134,32151,47362,62234,62234,56273,67164,67774,67774,18143,35134,5080,SBTET
BOMA,BOMMA INST. OF TECHNOLOGY AND SCI.,KHAMMAM,KHM,COED,PVT,,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,37087,42412,58472,60742,61040,61040,37087,42412,60463,60463,67072,67072,68814,68814,57392,68008,37087,42412,15780,SBTET
BOMA,BOMMA INST. OF TECHNOLOGY AND SCI.,KHAMMAM,KHM,COED,PVT,,EC,DIPLOMA IN ELECTRONICS & COMMUNICATION ENGINEERING,36843,42094,36843,42094,36843,42094,36843,42094,36843,42094,36843,42094,66072,66072,36843,42094,36843,49238,15780,SBTET
BOMA,BOMMA INST. OF TECHNOLOGY AND SCI.,KHAMMAM,KHM,COED,PVT,2008,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,32665,32665,32665,32665,32665,32665,32665,32665,32665,32665,32665,32665,63882,63882,64509,64509,32665,32665,15780,SBTET
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,2008,CS,DIPLOMA IN COMPUTER SCIENCE AND ENGINEERING,23675,40517,23675,40517,23675,40517,23675,40517,23675,40517,23675,40517,23675,44036,23675,40517,23675,40517,15780,SBTET
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,1993,EE,DIPLOMA IN ELECTRICAL & ELECTRONICS ENGINEERING,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,64978,15780,SBTET
